詞目,簡編本注音一式,字型目前顯示,插碼後字串,碼點,哪個字用第幾讀音,備註
八家將,ㄅㄚ ㄐㄧㄚ ㄐㄧㄤˋ,ㄅㄚ ㄐㄧㄚ ㄐㄧㄤ,八家將󠇡,U+516B U+5BB6 U+5C07 U+E01E1,將:IVS+1,
巴不得,ㄅㄚ ㄅㄨˋ ˙ㄉㄜ,ㄅㄚ ㄅㄨˋ ㄉㄜˊ,巴不得󠇡,U+5DF4 U+4E0D U+5F97 U+E01E1,得:IVS+1,
吧檯,ㄅㄚ ㄊㄞˊ,˙ㄅㄚ ㄊㄞˊ,吧󠇡檯,U+5427 U+E01E1 U+6AAF,吧:IVS+1,
拔刀相助,ㄅㄚˊ ㄉㄠ ㄒㄧㄤ ㄓㄨˋ,ㄅㄚˊ ㄉㄠ ㄒㄧㄤˋ ㄓㄨˋ,拔刀相󠇡助,U+62D4 U+5200 U+76F8 U+E01E1 U+52A9,相:IVS+1,
靶子,ㄅㄚˇ ˙ㄗ,ㄅㄚˇ ㄗˇ,靶子󠇡,U+9776 U+5B50 U+E01E1,子:IVS+1,
爸爸,ㄅㄚˋ ˙ㄅㄚ,ㄅㄚˋ ㄅㄚˋ,爸爸󠇡,U+7238 U+7238 U+E01E1,爸:IVS+1,
般若,ㄅㄛ ㄖㄜˇ,ㄅㄢ ㄖㄨㄛˋ,般󠇡若󠇡,U+822C U+E01E1 U+82E5 U+E01E1,般:IVS+1; 若:IVS+1,
剝削,ㄅㄛ ㄒㄩㄝˋ,ㄅㄛ ㄒㄧㄠ,剝削󠇡,U+525D U+524A U+E01E1,削:IVS+1,
伯伯,ㄅㄛˊ ˙ㄅㄛ,ㄅㄛˊ ㄅㄛˊ,伯伯󠇡,U+4F2F U+4F2F U+E01E1,伯:IVS+1,
脖子,ㄅㄛˊ ˙ㄗ,ㄅㄛˊ ㄗˇ,脖子󠇡,U+8116 U+5B50 U+E01E1,子:IVS+1,
薄荷,ㄅㄛˋ ㄏㄜˊ,ㄅㄛˊ ㄏㄜˊ,薄󠇡荷,U+8584 U+E01E1 U+8377,薄:IVS+1,
薄荷腦,ㄅㄛˋ ㄏㄜˊ ㄋㄠˇ,ㄅㄛˊ ㄏㄜˊ ㄋㄠˇ,薄󠇡荷腦,U+8584 U+E01E1 U+8377 U+8166,薄:IVS+1,
薄荷油,ㄅㄛˋ ㄏㄜˊ ㄧㄡˊ,ㄅㄛˊ ㄏㄜˊ ㄧㄡˊ,薄󠇡荷油,U+8584 U+E01E1 U+8377 U+6CB9,薄:IVS+1,
簸箕,ㄅㄛˋ ㄐㄧ,ㄅㄛˇ ㄐㄧ,簸󠇡箕,U+7C38 U+E01E1 U+7B95,簸:IVS+1,
百發百中,ㄅㄞˇ ㄈㄚ ㄅㄞˇ ㄓㄨㄥˋ,ㄅㄞˇ ㄈㄚ ㄅㄞˇ ㄓㄨㄥ,百發百中󠇡,U+767E U+767C U+767E U+4E2D U+E01E1,中:IVS+1,
擺架子,ㄅㄞˇ ㄐㄧㄚˋ ˙ㄗ,ㄅㄞˇ ㄐㄧㄚˋ ㄗˇ,擺架子󠇡,U+64FA U+67B6 U+5B50 U+E01E1,子:IVS+1,
拜碼頭,ㄅㄞˋ ㄇㄚˇ ˙ㄊㄡ,ㄅㄞˋ ㄇㄚˇ ㄊㄡˊ,拜碼頭󠇡,U+62DC U+78BC U+982D U+E01E1,頭:IVS+1,
敗興,ㄅㄞˋ ㄒㄧㄥˋ,ㄅㄞˋ ㄒㄧㄥ,敗興󠇡,U+6557 U+8208 U+E01E1,興:IVS+1,
稗子,ㄅㄞˋ ˙ㄗ,ㄅㄞˋ ㄗˇ,稗子󠇡,U+7A17 U+5B50 U+E01E1,子:IVS+1,
杯盤狼藉,ㄅㄟ ㄆㄢˊ ㄌㄤˊ ㄐㄧˊ,ㄅㄟ ㄆㄢˊ ㄌㄤˊ ㄐㄧㄝˋ,杯盤狼藉󠇡,U+676F U+76E4 U+72FC U+85C9 U+E01E1,藉:IVS+1,
杯葛,ㄅㄟ ㄍㄜˊ,ㄅㄟ ㄍㄜˇ,杯葛󠇡,U+676F U+845B U+E01E1,葛:IVS+1,
杯子,ㄅㄟ ˙ㄗ,ㄅㄟ ㄗˇ,杯子󠇡,U+676F U+5B50 U+E01E1,子:IVS+1,
背包,ㄅㄟ ㄅㄠ,ㄅㄟˋ ㄅㄠ,背󠇡包,U+80CC U+E01E1 U+5305,背:IVS+1,
背負,ㄅㄟ ㄈㄨˋ,ㄅㄟˋ ㄈㄨˋ,背󠇡負,U+80CC U+E01E1 U+8CA0,背:IVS+1,
背帶,ㄅㄟ ㄉㄞˋ,ㄅㄟˋ ㄉㄞˋ,背󠇡帶,U+80CC U+E01E1 U+5E36,背:IVS+1,
背黑鍋,ㄅㄟ ㄏㄟ ㄍㄨㄛ,ㄅㄟˋ ㄏㄟ ㄍㄨㄛ,背󠇡黑鍋,U+80CC U+E01E1 U+9ED1 U+934B,背:IVS+1,
悲不自勝,ㄅㄟ ㄅㄨˋ ㄗˋ ㄕㄥ,ㄅㄟ ㄅㄨˋ ㄗˋ ㄕㄥˋ,悲不自勝󠇡,U+60B2 U+4E0D U+81EA U+52DD U+E01E1,勝:IVS+1,
悲切,ㄅㄟ ㄑㄧㄝˋ,ㄅㄟ ㄑㄧㄝ,悲切󠇡,U+60B2 U+5207 U+E01E1,切:IVS+1,
倍感親切,ㄅㄟˋ ㄍㄢˇ ㄑㄧㄣ ㄑㄧㄝˋ,ㄅㄟˋ ㄍㄢˇ ㄑㄧㄣ ㄑㄧㄝ,倍感親切󠇡,U+500D U+611F U+89AA U+5207 U+E01E1,切:IVS+1,
輩分,ㄅㄟˋ ㄈㄣˋ,ㄅㄟˋ ㄈㄣ,輩分󠇡,U+8F29 U+5206 U+E01E1,分:IVS+1,
包子,ㄅㄠ ˙ㄗ,ㄅㄠ ㄗˇ,包子󠇡,U+5305 U+5B50 U+E01E1,子:IVS+1,
保險給付,ㄅㄠˇ ㄒㄧㄢˇ ㄐㄧˇ ㄈㄨˋ,ㄅㄠˇ ㄒㄧㄢˇ ㄍㄟˇ ㄈㄨˋ,保險給󠇡付,U+4FDD U+96AA U+7D66 U+E01E1 U+4ED8,給:IVS+1,
寶藏,ㄅㄠˇ ㄗㄤˋ,ㄅㄠˇ ㄘㄤˊ,寶藏󠇡,U+5BF6 U+85CF U+E01E1,藏:IVS+1,
報關行,ㄅㄠˋ ㄍㄨㄢ ㄏㄤˊ,ㄅㄠˋ ㄍㄨㄢ ㄒㄧㄥˊ,報關行󠇡,U+5831 U+95DC U+884C U+E01E1,行:IVS+1,
報應,ㄅㄠˋ ㄧㄥˋ,ㄅㄠˋ ㄧㄥ,報應󠇡,U+5831 U+61C9 U+E01E1,應:IVS+1,
暴虎馮河,ㄅㄠˋ ㄏㄨˇ ㄆㄧㄥˊ ㄏㄜˊ,ㄅㄠˋ ㄏㄨˇ ㄈㄥˊ ㄏㄜˊ,暴虎馮󠇡河,U+66B4 U+864E U+99AE U+E01E1 U+6CB3,馮:IVS+1,
扳倒,ㄅㄢ ㄉㄠˇ,ㄅㄢ ㄉㄠˋ,扳倒󠇡,U+6273 U+5012 U+E01E1,倒:IVS+1,
班長,ㄅㄢ ㄓㄤˇ,ㄅㄢ ㄔㄤˊ,班長󠇡,U+73ED U+9577 U+E01E1,長:IVS+1,
班子,ㄅㄢ ˙ㄗ,ㄅㄢ ㄗˇ,班子󠇡,U+73ED U+5B50 U+E01E1,子:IVS+1,
半吊子,ㄅㄢˋ ㄉㄧㄠˋ ˙ㄗ,ㄅㄢˋ ㄉㄧㄠˋ ㄗˇ,半吊子󠇡,U+534A U+540A U+5B50 U+E01E1,子:IVS+1,
半夜三更,ㄅㄢˋ ㄧㄝˋ ㄙㄢ ㄍㄥ,ㄅㄢˋ ㄧㄝˋ ㄙㄢ ㄍㄥˋ,半夜三更󠇡,U+534A U+591C U+4E09 U+66F4 U+E01E1,更:IVS+1,
絆倒,ㄅㄢˋ ㄉㄠˇ,ㄅㄢˋ ㄉㄠˋ,絆倒󠇡,U+7D46 U+5012 U+E01E1,倒:IVS+1,
辦公處,ㄅㄢˋ ㄍㄨㄥ ㄔㄨˋ,ㄅㄢˋ ㄍㄨㄥ ㄔㄨˇ,辦公處󠇡,U+8FA6 U+516C U+8655 U+E01E1,處:IVS+1,
辦事處,ㄅㄢˋ ㄕˋ ㄔㄨˋ,ㄅㄢˋ ㄕˋ ㄔㄨˇ,辦事處󠇡,U+8FA6 U+4E8B U+8655 U+E01E1,處:IVS+1,
本分,ㄅㄣˇ ㄈㄣˋ,ㄅㄣˇ ㄈㄣ,本分󠇡,U+672C U+5206 U+E01E1,分:IVS+1,
本行,ㄅㄣˇ ㄏㄤˊ,ㄅㄣˇ ㄒㄧㄥˊ,本行󠇡,U+672C U+884C U+E01E1,行:IVS+1,
棒喝,ㄅㄤˋ ㄏㄜˋ,ㄅㄤˋ ㄏㄜ,棒喝󠇡,U+68D2 U+559D U+E01E1,喝:IVS+1,
棒子,ㄅㄤˋ ˙ㄗ,ㄅㄤˋ ㄗˇ,棒子󠇡,U+68D2 U+5B50 U+E01E1,子:IVS+1,
繃子,ㄅㄥ ˙ㄗ,ㄅㄥ ㄗˇ,繃子󠇡,U+7E43 U+5B50 U+E01E1,子:IVS+1,
荸薺,ㄅㄧˊ ㄑㄧˊ,ㄅㄧˊ ㄐㄧˋ,荸薺󠇡,U+8378 U+85BA U+E01E1,薺:IVS+1,
鼻子,ㄅㄧˊ ˙ㄗ,ㄅㄧˊ ㄗˇ,鼻子󠇡,U+9F3B U+5B50 U+E01E1,子:IVS+1,
彼長我消,ㄅㄧˇ ㄓㄤˇ ㄨㄛˇ ㄒㄧㄠ,ㄅㄧˇ ㄔㄤˊ ㄨㄛˇ ㄒㄧㄠ,彼長󠇡我消,U+5F7C U+9577 U+E01E1 U+6211 U+6D88,長:IVS+1,
筆調,ㄅㄧˇ ㄉㄧㄠˋ,ㄅㄧˇ ㄊㄧㄠˊ,筆調󠇡,U+7B46 U+8ABF U+E01E1,調:IVS+1,
比比皆是,ㄅㄧˋ ㄅㄧˋ ㄐㄧㄝ ㄕˋ,ㄅㄧˇ ㄅㄧˇ ㄐㄧㄝ ㄕˋ,比󠇡比󠇡皆是,U+6BD4 U+E01E1 U+6BD4 U+E01E1 U+7686 U+662F,比:IVS+1; 比:IVS+1,
比鄰,ㄅㄧˋ ㄌㄧㄣˊ,ㄅㄧˇ ㄌㄧㄣˊ,比󠇡鄰,U+6BD4 U+E01E1 U+9130,比:IVS+1,
比鄰而居,ㄅㄧˋ ㄌㄧㄣˊ ㄦˊ ㄐㄩ,ㄅㄧˇ ㄌㄧㄣˊ ㄦˊ ㄐㄩ,比󠇡鄰而居,U+6BD4 U+E01E1 U+9130 U+800C U+5C45,比:IVS+1,
比肩,ㄅㄧˋ ㄐㄧㄢ,ㄅㄧˇ ㄐㄧㄢ,比󠇡肩,U+6BD4 U+E01E1 U+80A9,比:IVS+1,
蔽塞,ㄅㄧˋ ㄙㄜˋ,ㄅㄧˋ ㄙㄞ,蔽塞󠇡,U+853D U+585E U+E01E1,塞:IVS+1,
閉塞,ㄅㄧˋ ㄙㄜˋ,ㄅㄧˋ ㄙㄞ,閉塞󠇡,U+9589 U+585E U+E01E1,塞:IVS+1,
避難,ㄅㄧˋ ㄋㄢˋ,ㄅㄧˋ ㄋㄢˊ,避難󠇡,U+907F U+96E3 U+E01E1,難:IVS+1,
璧還,ㄅㄧˋ ㄏㄨㄢˊ,ㄅㄧˋ ㄏㄞˊ,璧還󠇡,U+74A7 U+9084 U+E01E1,還:IVS+1,
別苗頭,ㄅㄧㄝˊ ㄇㄧㄠˊ ˙ㄊㄡ,ㄅㄧㄝˊ ㄇㄧㄠˊ ㄊㄡˊ,別苗頭󠇡,U+5225 U+82D7 U+982D U+E01E1,頭:IVS+1,
標的,ㄅㄧㄠ ㄉㄧˋ,ㄅㄧㄠ ˙ㄉㄜ,標的󠇢,U+6A19 U+7684 U+E01E2,的:IVS+2,
表率,ㄅㄧㄠˇ ㄕㄨㄞˋ,ㄅㄧㄠˇ ㄌㄩˋ,表率󠇡,U+8868 U+7387 U+E01E1,率:IVS+1,
編著,ㄅㄧㄢ ㄓㄨˋ,ㄅㄧㄢ ˙ㄓㄜ,編著󠇡,U+7DE8 U+8457 U+E01E1,著:IVS+1,
扁鑽,ㄅㄧㄢˇ ㄗㄨㄢˋ,ㄅㄧㄢˇ ㄗㄨㄢ,扁鑽󠇡,U+6241 U+947D U+E01E1,鑽:IVS+1,
辮子,ㄅㄧㄢˋ ˙ㄗ,ㄅㄧㄢˋ ㄗˇ,辮子󠇡,U+8FAE U+5B50 U+E01E1,子:IVS+1,
變更,ㄅㄧㄢˋ ㄍㄥ,ㄅㄧㄢˋ ㄍㄥˋ,變更󠇡,U+8B8A U+66F4 U+E01E1,更:IVS+1,
并州,ㄅㄧㄥ ㄓㄡ,ㄅㄧㄥˋ ㄓㄡ,并󠇡州,U+5E76 U+E01E1 U+5DDE,并:IVS+1,
屏氣凝神,ㄅㄧㄥˇ ㄑㄧˋ ㄋㄧㄥˊ ㄕㄣˊ,ㄆㄧㄥˊ ㄑㄧˋ ㄋㄧㄥˊ ㄕㄣˊ,屏󠇡氣凝神,U+5C4F U+E01E1 U+6C23 U+51DD U+795E,屏:IVS+1,
屏息,ㄅㄧㄥˇ ㄒㄧˊ,ㄆㄧㄥˊ ㄒㄧˊ,屏󠇡息,U+5C4F U+E01E1 U+606F,屏:IVS+1,
並無不當,ㄅㄧㄥˋ ㄨˊ ㄅㄨˋ ㄉㄤˋ,ㄅㄧㄥˋ ㄨˊ ㄅㄨˋ ㄉㄤ,並無不當󠇡,U+4E26 U+7121 U+4E0D U+7576 U+E01E1,當:IVS+1,
病假,ㄅㄧㄥˋ ㄐㄧㄚˋ,ㄅㄧㄥˋ ㄐㄧㄚˇ,病假󠇡,U+75C5 U+5047 U+E01E1,假:IVS+1,
補給,ㄅㄨˇ ㄐㄧˇ,ㄅㄨˇ ㄍㄟˇ,補給󠇡,U+88DC U+7D66 U+E01E1,給:IVS+1,
補給線,ㄅㄨˇ ㄐㄧˇ ㄒㄧㄢˋ,ㄅㄨˇ ㄍㄟˇ ㄒㄧㄢˋ,補給󠇡線,U+88DC U+7D66 U+E01E1 U+7DDA,給:IVS+1,
補假,ㄅㄨˇ ㄐㄧㄚˋ,ㄅㄨˇ ㄐㄧㄚˇ,補假󠇡,U+88DC U+5047 U+E01E1,假:IVS+1,
不搭調,ㄅㄨˋ ㄉㄚ ㄉㄧㄠˋ,ㄅㄨˋ ㄉㄚ ㄊㄧㄠˊ,不搭調󠇡,U+4E0D U+642D U+8ABF U+E01E1,調:IVS+1,
不得了,ㄅㄨˋ ㄉㄜˊ ㄌㄧㄠˇ,ㄅㄨˋ ㄉㄜˊ ˙ㄌㄜ,不得了󠇡,U+4E0D U+5F97 U+4E86 U+E01E1,了:IVS+1,
不倒翁,ㄅㄨˋ ㄉㄠˇ ㄨㄥ,ㄅㄨˋ ㄉㄠˋ ㄨㄥ,不倒󠇡翁,U+4E0D U+5012 U+E01E1 U+7FC1,倒:IVS+1,
不當,ㄅㄨˋ ㄉㄤˋ,ㄅㄨˋ ㄉㄤ,不當󠇡,U+4E0D U+7576 U+E01E1,當:IVS+1,
不了了之,ㄅㄨˋ ㄌㄧㄠˇ ㄌㄧㄠˇ ㄓ,ㄅㄨˋ ˙ㄌㄜ ˙ㄌㄜ ㄓ,不了󠇡了󠇡之,U+4E0D U+4E86 U+E01E1 U+4E86 U+E01E1 U+4E4B,了:IVS+1; 了:IVS+1,
不了解,ㄅㄨˋ ㄌㄧㄠˇ ㄐㄧㄝˇ,ㄅㄨˋ ˙ㄌㄜ ㄐㄧㄝˇ,不了󠇡解,U+4E0D U+4E86 U+E01E1 U+89E3,了:IVS+1,
不良分子,ㄅㄨˋ ㄌㄧㄤˊ ㄈㄣˋ ㄗˇ,ㄅㄨˋ ㄌㄧㄤˊ ㄈㄣ ㄗˇ,不良分󠇡子,U+4E0D U+826F U+5206 U+E01E1 U+5B50,分:IVS+1,
不良少年,ㄅㄨˋ ㄌㄧㄤˊ ㄕㄠˋ ㄋㄧㄢˊ,ㄅㄨˋ ㄌㄧㄤˊ ㄕㄠˇ ㄋㄧㄢˊ,不良少󠇡年,U+4E0D U+826F U+5C11 U+E01E1 U+5E74,少:IVS+1,
不顧一切,ㄅㄨˋ ㄍㄨˋ ㄧ ㄑㄧㄝˋ,ㄅㄨˋ ㄍㄨˋ ㄧ ㄑㄧㄝ,不顧一切󠇡,U+4E0D U+9867 U+4E00 U+5207 U+E01E1,切:IVS+1,
不堪負荷,ㄅㄨˋ ㄎㄢ ㄈㄨˋ ㄏㄜˋ,ㄅㄨˋ ㄎㄢ ㄈㄨˋ ㄏㄜˊ,不堪負荷󠇡,U+4E0D U+582A U+8CA0 U+8377 U+E01E1,荷:IVS+1,
不好意思,ㄅㄨˋ ㄏㄠˇ ㄧˋ ˙ㄙ,ㄅㄨˋ ㄏㄠˇ ㄧˋ ㄙ,不好意思󠇢,U+4E0D U+597D U+610F U+601D U+E01E2,思:IVS+2,
不假外出,ㄅㄨˋ ㄐㄧㄚˋ ㄨㄞˋ ㄔㄨ,ㄅㄨˋ ㄐㄧㄚˇ ㄨㄞˋ ㄔㄨ,不假󠇡外出,U+4E0D U+5047 U+E01E1 U+5916 U+51FA,假:IVS+1,
不見得,ㄅㄨˋ ㄐㄧㄢˋ ˙ㄉㄜ,ㄅㄨˋ ㄐㄧㄢˋ ㄉㄜˊ,不見得󠇡,U+4E0D U+898B U+5F97 U+E01E1,得:IVS+1,
不見經傳,ㄅㄨˋ ㄐㄧㄢˋ ㄐㄧㄥ ㄓㄨㄢˋ,ㄅㄨˋ ㄐㄧㄢˋ ㄐㄧㄥ ㄔㄨㄢˊ,不見經傳󠇡,U+4E0D U+898B U+7D93 U+50B3 U+E01E1,傳:IVS+1,
不禁,ㄅㄨˋ ㄐㄧㄣ,ㄅㄨˋ ㄐㄧㄣˋ,不禁󠇡,U+4E0D U+7981 U+E01E1,禁:IVS+1,
不經一事不長一智,ㄅㄨˋ ㄐㄧㄥ ㄧ ㄕˋ ㄅㄨˋ ㄓㄤˇ ㄧ ㄓˋ,ㄅㄨˋ ㄐㄧㄥ ㄧ ㄕˋ ㄅㄨˋ ㄔㄤˊ ㄧ ㄓˋ,不經一事不長󠇡一智,U+4E0D U+7D93 U+4E00 U+4E8B U+4E0D U+9577 U+E01E1 U+4E00 U+667A,長:IVS+1,
不切實際,ㄅㄨˋ ㄑㄧㄝˋ ㄕˊ ㄐㄧˋ,ㄅㄨˋ ㄑㄧㄝ ㄕˊ ㄐㄧˋ,不切󠇡實際,U+4E0D U+5207 U+E01E1 U+5BE6 U+969B,切:IVS+1,
不相干,ㄅㄨˋ ㄒㄧㄤ ㄍㄢ,ㄅㄨˋ ㄒㄧㄤˋ ㄍㄢ,不相󠇡干,U+4E0D U+76F8 U+E01E1 U+5E72,相:IVS+1,
不相上下,ㄅㄨˋ ㄒㄧㄤ ㄕㄤˋ ㄒㄧㄚˋ,ㄅㄨˋ ㄒㄧㄤˋ ㄕㄤˋ ㄒㄧㄚˋ,不相󠇡上下,U+4E0D U+76F8 U+E01E1 U+4E0A U+4E0B,相:IVS+1,
不省人事,ㄅㄨˋ ㄒㄧㄥˇ ㄖㄣˊ ㄕˋ,ㄅㄨˋ ㄕㄥˇ ㄖㄣˊ ㄕˋ,不省󠇡人事,U+4E0D U+7701 U+E01E1 U+4EBA U+4E8B,省:IVS+1,
不支倒地,ㄅㄨˋ ㄓ ㄉㄠˇ ㄉㄧˋ,ㄅㄨˋ ㄓ ㄉㄠˋ ㄉㄧˋ,不支倒󠇡地,U+4E0D U+652F U+5012 U+E01E1 U+5730,倒:IVS+1,
不值得,ㄅㄨˋ ㄓˊ ˙ㄉㄜ,ㄅㄨˋ ㄓˊ ㄉㄜˊ,不值得󠇡,U+4E0D U+503C U+5F97 U+E01E1,得:IVS+1,
不著邊際,ㄅㄨˋ ㄓㄨㄛˊ ㄅㄧㄢ ㄐㄧˋ,ㄅㄨˋ ˙ㄓㄜ ㄅㄧㄢ ㄐㄧˋ,不著󠇤邊際,U+4E0D U+8457 U+E01E4 U+908A U+969B,著:IVS+4,
不著痕跡,ㄅㄨˋ ㄓㄨㄛˊ ㄏㄣˊ ㄐㄧ,ㄅㄨˋ ˙ㄓㄜ ㄏㄣˊ ㄐㄧ,不著󠇤痕跡,U+4E0D U+8457 U+E01E4 U+75D5 U+8DE1,著:IVS+4,
不中用,ㄅㄨˋ ㄓㄨㄥˋ ㄩㄥˋ,ㄅㄨˋ ㄓㄨㄥ ㄩㄥˋ,不中󠇡用,U+4E0D U+4E2D U+E01E1 U+7528,中:IVS+1,
不中聽,ㄅㄨˋ ㄓㄨㄥˋ ㄊㄧㄥ,ㄅㄨˋ ㄓㄨㄥ ㄊㄧㄥ,不中󠇡聽,U+4E0D U+4E2D U+E01E1 U+807D,中:IVS+1,
不稱心,ㄅㄨˋ ㄔㄥˋ ㄒㄧㄣ,ㄅㄨˋ ㄔㄥ ㄒㄧㄣ,不稱󠇡心,U+4E0D U+7A31 U+E01E1 U+5FC3,稱:IVS+1,
不勝枚舉,ㄅㄨˋ ㄕㄥ ㄇㄟˊ ㄐㄩˇ,ㄅㄨˋ ㄕㄥˋ ㄇㄟˊ ㄐㄩˇ,不勝󠇡枚舉,U+4E0D U+52DD U+E01E1 U+679A U+8209,勝:IVS+1,
不勝酒力,ㄅㄨˋ ㄕㄥ ㄐㄧㄡˇ ㄌㄧˋ,ㄅㄨˋ ㄕㄥˋ ㄐㄧㄡˇ ㄌㄧˋ,不勝󠇡酒力,U+4E0D U+52DD U+E01E1 U+9152 U+529B,勝:IVS+1,
不勝其煩,ㄅㄨˋ ㄕㄥ ㄑㄧˊ ㄈㄢˊ,ㄅㄨˋ ㄕㄥˋ ㄑㄧˊ ㄈㄢˊ,不勝󠇡其煩,U+4E0D U+52DD U+E01E1 U+5176 U+7169,勝:IVS+1,
不勝其擾,ㄅㄨˋ ㄕㄥ ㄑㄧˊ ㄖㄠˇ,ㄅㄨˋ ㄕㄥˋ ㄑㄧˊ ㄖㄠˇ,不勝󠇡其擾,U+4E0D U+52DD U+E01E1 U+5176 U+64FE,勝:IVS+1,
不勝唏噓,ㄅㄨˋ ㄕㄥ ㄒㄧ ㄒㄩ,ㄅㄨˋ ㄕㄥˋ ㄒㄧ ㄒㄩ,不勝󠇡唏噓,U+4E0D U+52DD U+E01E1 U+550F U+5653,勝:IVS+1,
不安分,ㄅㄨˋ ㄢ ㄈㄣˋ,ㄅㄨˋ ㄢ ㄈㄣ,不安分󠇡,U+4E0D U+5B89 U+5206 U+E01E1,分:IVS+1,
不由得,ㄅㄨˋ ㄧㄡˊ ˙ㄉㄜ,ㄅㄨˋ ㄧㄡˊ ㄉㄜˊ,不由得󠇡,U+4E0D U+7531 U+5F97 U+E01E1,得:IVS+1,
布匹,ㄅㄨˋ ㄆㄧˇ,ㄅㄨˋ ㄆㄧ,布匹󠇡,U+5E03 U+5339 U+E01E1,匹:IVS+1,
步調,ㄅㄨˋ ㄉㄧㄠˋ,ㄅㄨˋ ㄊㄧㄠˊ,步調󠇡,U+6B65 U+8ABF U+E01E1,調:IVS+1,
部分,ㄅㄨˋ ㄈㄣˋ,ㄅㄨˋ ㄈㄣ,部分󠇡,U+90E8 U+5206 U+E01E1,分:IVS+1,
部會首長,ㄅㄨˋ ㄏㄨㄟˋ ㄕㄡˇ ㄓㄤˇ,ㄅㄨˋ ㄏㄨㄟˋ ㄕㄡˇ ㄔㄤˊ,部會首長󠇡,U+90E8 U+6703 U+9996 U+9577 U+E01E1,長:IVS+1,
部曲,ㄅㄨˋ ㄑㄩ,ㄅㄨˋ ㄑㄩˇ,部曲󠇡,U+90E8 U+66F2 U+E01E1,曲:IVS+1,
部長,ㄅㄨˋ ㄓㄤˇ,ㄅㄨˋ ㄔㄤˊ,部長󠇡,U+90E8 U+9577 U+E01E1,長:IVS+1,
部署,ㄅㄨˋ ㄕㄨˋ,ㄅㄨˋ ㄕㄨˇ,部署󠇡,U+90E8 U+7F72 U+E01E1,署:IVS+1,
簿子,ㄅㄨˋ ˙ㄗ,ㄅㄨˋ ㄗˇ,簿子󠇡,U+7C3F U+5B50 U+E01E1,子:IVS+1,
啪啦,ㄆㄚ ㄌㄚ,ㄆㄚ ˙ㄌㄚ,啪啦󠇡,U+556A U+5566 U+E01E1,啦:IVS+1,
爬格子,ㄆㄚˊ ㄍㄜˊ ˙ㄗ,ㄆㄚˊ ㄍㄜˊ ㄗˇ,爬格子󠇡,U+722C U+683C U+5B50 U+E01E1,子:IVS+1,
婆婆,ㄆㄛˊ ˙ㄆㄛ,ㄆㄛˊ ㄆㄛˊ,婆婆󠇡,U+5A46 U+5A46 U+E01E1,婆:IVS+1,
迫切,ㄆㄛˋ ㄑㄧㄝˋ,ㄆㄛˋ ㄑㄧㄝ,迫切󠇡,U+8FEB U+5207 U+E01E1,切:IVS+1,
破鏡重圓,ㄆㄛˋ ㄐㄧㄥˋ ㄔㄨㄥˊ ㄩㄢˊ,ㄆㄛˋ ㄐㄧㄥˋ ㄓㄨㄥˋ ㄩㄢˊ,破鏡重󠇡圓,U+7834 U+93E1 U+91CD U+E01E1 U+5713,重:IVS+1,
破嗓子,ㄆㄛˋ ㄙㄤˇ ˙ㄗ,ㄆㄛˋ ㄙㄤˇ ㄗˇ,破嗓子󠇡,U+7834 U+55D3 U+5B50 U+E01E1,子:IVS+1,
拍子,ㄆㄞ ˙ㄗ,ㄆㄞ ㄗˇ,拍子󠇡,U+62CD U+5B50 U+E01E1,子:IVS+1,
排比,ㄆㄞˊ ㄅㄧˋ,ㄆㄞˊ ㄅㄧˇ,排比󠇡,U+6392 U+6BD4 U+E01E1,比:IVS+1,
排難解紛,ㄆㄞˊ ㄋㄢˋ ㄐㄧㄝˇ ㄈㄣ,ㄆㄞˊ ㄋㄢˊ ㄐㄧㄝˇ ㄈㄣ,排難󠇡解紛,U+6392 U+96E3 U+E01E1 U+89E3 U+7D1B,難:IVS+1,
排行,ㄆㄞˊ ㄏㄤˊ,ㄆㄞˊ ㄒㄧㄥˊ,排行󠇡,U+6392 U+884C U+E01E1,行:IVS+1,
排行榜,ㄆㄞˊ ㄏㄤˊ ㄅㄤˇ,ㄆㄞˊ ㄒㄧㄥˊ ㄅㄤˇ,排行󠇡榜,U+6392 U+884C U+E01E1 U+699C,行:IVS+1,
排山倒海,ㄆㄞˊ ㄕㄢ ㄉㄠˇ ㄏㄞˇ,ㄆㄞˊ ㄕㄢ ㄉㄠˋ ㄏㄞˇ,排山倒󠇡海,U+6392 U+5C71 U+5012 U+E01E1 U+6D77,倒:IVS+1,
徘徊,ㄆㄞˊ ㄏㄨㄞˊ,ㄆㄞˊ ㄏㄨㄟˊ,徘徊󠇡,U+5F98 U+5F8A U+E01E1,徊:IVS+1,
牌子,ㄆㄞˊ ˙ㄗ,ㄆㄞˊ ㄗˇ,牌子󠇡,U+724C U+5B50 U+E01E1,子:IVS+1,
胚子,ㄆㄟ ˙ㄗ,ㄆㄟ ㄗˇ,胚子󠇡,U+80DA U+5B50 U+E01E1,子:IVS+1,
陪都,ㄆㄟˊ ㄉㄨ,ㄆㄟˊ ㄉㄡ,陪都󠇡,U+966A U+90FD U+E01E1,都:IVS+1,
配給,ㄆㄟˋ ㄐㄧˇ,ㄆㄟˋ ㄍㄟˇ,配給󠇡,U+914D U+7D66 U+E01E1,給:IVS+1,
